投资金额及投资人,投资金额：1200万美元投资人：__及其关联基金
优先受让权,SEED轮优先股持有人有权根据其持股比例优先认购/购买公司新发行的股份以及公司其他股东转让的股份。
共同出售权,在其他股东出售或转让公司股份时，如SEED轮优先股持有人不行使优先购买权，则其有权但无义务与出售股东一起以同等条件按其各自股份比例出售其持有的股份。
知情权,集团公司应向SEED轮优先股持有人提供：(1)每一财务年度结束后90日内，经审计的年度合并财务报表，审计人应为令SEED轮优先股持有人满意的合格会计师事务所；(2)  每一财务季度结束后45日内，未经审计的季度合并财务报表；(3)每月结束后30日内，未经审计的月度合并财务报表；(4)每一财务年度结束前30日内，一份年度预算；和(5)提交给该公司股东的所有文件或其他信息的复印件。所有该等财务报表均应按SEED轮优先股持有人同意的区域的公认会计准则准备。另外，SEED轮优先股持有人代表有权对公司的财务账簿和其它经营记录进行查看核对，并在合理必要时，就公司经营访问其顾问、雇员、独立会计师及律师。
转股限制与分期得权,各创始人在公司持有的普通股受限于四年的得权限制，自SEED轮融资交割后每满一年，创始人持有的公司总股份的1/4得权。在上述的四年之内，如创始人与集团公司的劳动合同因创始人主动离职或因创始人的过错而终止或解除，公司有权以成本价回购创始人未得权的普通股。自SEED轮融资交割起的四年内，在未取得SEED轮优先股持有人事先书面同意的情况下，创始人不得出售或转让或以任何其他方式处置其在公司享有的任何股份。任何经SEED轮优先股持有人同意而受让公司股权的股东应当与创始人一样受限于本条规定的转股及锁定限制。
自动兑换,SEED轮优先股持有人有权自行决定在其认购SEED轮优先股的交易完成日后的任何时间将其SEED轮优先股兑换为公司普通股，最初的兑换比例为1:1。
自动兑换,所有SEED轮优先股将在以下情况下自动转换为普通股：(i)在扣除承销折扣和登记费用后，公司估值不低于2亿美元，融资金额不低于4,000万美元的首次公开发行（“合格IPO”）完成，或(ii)持有50%以上SEED轮优先股持有人批准。
反稀释条款,SEED轮优先股在发生公司股份拆股、股票分红、股本重组或其他类似情况时有权按相应的比例进行数量上的调整，以防止被稀释。如果公司以低于当时的SEED轮优先股兑换价格的价格发行任何公司证券，则SEED轮优先股的兑换价格应按加权平均完全棘轮（on a full ratchetweightedaverage basis）的计算方式进行调整，以防止其被稀释。
投票表决权,每一股SEED轮优先股所具有的表决权与其可兑换的相应数量的普通股具有相同表决权。SEED轮优先股原则上与普通股共同进行投票表决，而非作为单独类别分开投票表决，但涉及“保护性条款”的事项或法律另行规定除外。
登记权,二三次要求登记权，无限制次数的共同登记权和S-3或F-3表格登记权，所有费用（但给承销商的折扣佣金除外）由公司承担。要求登记权在合格IPO之后或SEED轮优先股发行后5年起生效。
级别,除非获得持有2/3以上SEED轮优先股持有人的同意，SEED轮优先股的权利不得为次级的。，且应在所有时间至少等同于赋予所有其他现有的或将来的股东的权利。
股份类别,A轮优先股，A轮优先股的权利见附件一。
投资金额,投资人：投资【】万美元，认购公司（定义见下文，下同）发行的【】股A轮优先股，投资后持有占公司总股本【】%的A轮优先股（按完全摊薄基础计算）；
期权,公司将在本轮投资交割时预留占交割后公司总股本的【】%（按完全摊薄基础计算）用于员工期权的实施。员工期权自授予日起分四年得权，每满一年得权四分之一。
估值条款,本轮投资公司的投资后估值为【】万美元。
交割条款,(1)创始人在【】新设一家内资企业（简称“境内公司”）；(2)创始人在开曼群岛设立一家公司（简称“公司”）；(3)公司在香港设立一家全资子公司（简称“香港公司”）；(4)创始人向境内公司所在地的外管局申报37号文初始登记；(5)       香港公司在境内设立一家外商独资企业（简称“WFOE”）。以上公司、香港公司、WFOE、内资公司、境内公司合称“集团公司”。
交割条款,投资人对公司的投资系以满足下列条件为前提：(1)投资人完成法律、财务、商业等方面的尽职调查，且令投资人满意；(2)创始人已向投资人提供一份交割后【18】个月的公司预算；(3)       已完成交割前重组；(4)投资人和公司签订了正式的投资协议，且在投资协议签订后至投资款支付期间无任何重大不利变更；(5)       创始人和其他主要管理和技术人员已与集团公司签订了相关的雇佣协议，非竞争、保密协议和职务发明转让协议，前述人员在离职或转让公司股权后两年内不能从事任何与集团公司竞争的业务或者唆使集团公司员工离职；(6)       集团公司已完成红筹架构的搭建(包括但不限于签署一系列VIE协议)，内资公司按照投资人的要求进行了股权重组或者签署了VIE协议并在相关工商部门递交了股权质押登记；(7)       其他投资人惯常要求的其他交割先决条件。
投资款用途,除取得投资人书面同意之外，本次投资款只能用于集团公司的主营业务发展和运营。
董事会,公司的董事会由【】位董事组成，其中：(1)  2/3以上普通股持有人有权共同委派【】位董事；(2)  半数以上的A轮优先股持有人有权委派【1】位董事（以下简称“A轮优先股董事”）；公司董事会下的任何委员会应包括A轮优先股董事。【】还有权委派一名不享有投票权的董事会观察员。
费用,各方同意，本轮投资项下的费用最多为【】万美元，包括但不限于法律审慎调查、正式投资协议起草等费用，该费用按照下列原则支付：（1）   若投资人完成对公司投资的，上述费用由任一集团公司支付；（2）   若投资人未完成对公司投资的，上述费用由投资人自行承担。
保密条款,本条款清单所提出的条款和条件，包括本条款清单的存在，均构成保密信息，除非应适用的法律要求或经投资人事先书面同意，不得向任何第三人透露。
排他期,本条款清单签订后的【30】天内，除非事先已得到投资人不再进行本轮投资的书面通知，否则创始人及/或集团公司将不得再与其他投资人就本条款清单相关的主题进行任何投资谈判。如果投资人及其关联方与创始人之间签署了过桥贷款协议，排他期应当顺延至过桥贷款协议的有效期。
交割条款,本次交易应在所有交割先决条件满足后的10日内完成（“交割”）。
适用法律,本条款清单应由香港法律管辖并根据其解释。任何本条款清单项下的争端应提交香港国际仲裁中心解决。
有约束力条款,除了费用支付、保密条款、排他期、适用法律和仲裁条款外，本条款清单的其余条款在正式投资法律文件签署之前不具有法律约束力。违反有约束力条款的一方应赔偿其他当事方因其违约所受到的损失。
排他性,如果公司现有股东和内资公司未签署本条款清单并交付给投资人，其将于_____年____月____日【】分失效。
协议文本,本条款清单一式【】份，各签署方各执一份。
优先分红权,A轮优先股持有人有权，在董事会宣布时，优先于公司其他股东取得年息【8%】的单利不累计优先分红。A轮优先股持有人取得全部优先分红后，还有权与其他普通股股东按各自持股比例参与分红（在完全转换的基础上）。
清算优先权,公司清算时，A轮优先股持有人有权优先获得其A轮总投资额的【110%】的优先清算额，以及所有已宣布但未支付的股利。公司剩余资产将在各股东间按各自持股比例分配（在完全转换的基础上）。公司发生兼并、出售或合并且导致其股东不再持有存续公司的多数表决权，或该公司所有或关键性资产的出售，均被视为公司发生清算，适用以上条款。
回购权,在以下任一时点之后，A轮优先股持有人可随时要求公司赎回其所持的全部或部分A轮优先股:(1)        A轮交割后满【5】年后；或(2)        公司及/或创始人对交易文件构成重大违约。赎回价格以以下较高者为准：(1)         A轮优先股的初始购买价的【150%】，加上全部已宣布但未支付的股利，或(2)        A轮优先股的市场公允价格。
领售权,如果在合格IPO之前，【2/3】以上A轮优先股持有人及【1/2】以上普通股持有人赞成出售公司的全部或主要资产、股份，那么公司所有其他股东应同意、并促使其他股东同意按相同条件参与该出售。
保护性条款,下列事项需经【2/3】以上A轮优先股持有人同意，为本条款的目的，“公司”包括各集团公司：(1)      对A轮优先股持有人的任何权利、优先权、特权或权力或为其利益所设的限制的任何改变；(2)发行优先性优于或等于A轮优先股的任何证券，发行公司的任何债券或股权性证券(但基于经事先批准的员工期权计划发行的除外)；(3)公司股份的回购或赎回（根据公司章程中回购或赎回条款所做的回购或赎回除外）以及发行具有该等回购权或赎回权的股份；(4)任何股票拆股、并股或股利、再分类或其他形式的公司资本重组；(5)修改或废止公司章程中任何条款；(6)改变公司经营性质或范围；(7)与公司有关的任何购并、兼并、出售、合并、合资、成立任何子公司或分公司等；(8)公司任何债券或股权性证券的公开发行；(9)公司的清算或解散；(10)出售公司所有或基本所有资产、知识产权或商誉，或购买另一家实体的所有或基本所有资产或购并任何实体；(11)变更董事会人数；(12)    转让公司任何股份。下列事项需经公司董事会同意通过（且A轮优先股董事投赞成票）才能生效：(1)通过或修改员工期权计划（包括对其任何条款和条件的修改）；(2)    任何关联交易，但公平交易且事先书面向股东完全披露的除外；(3)金额超过10万美元的公司资产抵押或提供担保；(4)宣布或支付股份分红；(5) 任命公司高级管理人员，包括但不限于首席执行官、首席运营官、首席技术官和首席财务官等；(6)任免公司审计师，决定审计费或其他与审计有关的费用；(7)    上调公司收入最高的五（5）名员工中的任何一人的薪酬超过【30】%；(8)修改公司的会计政策或改变公司的会计年度；(9)正常经营之外，公司发生任何超过融资金额【1%】的债务或支出（无论是单笔或通过一系列相关的交易）；(10)  通过公司年度预算及工作指标。
优先受让权,A轮优先股持有人有权根据其持股比例优先认购/购买公司新发行的股份以及公司其他股东转让的股份。
共同出售权,在其他股东出售或转让公司股份时，如A轮优先股持有人不行使优先购买权，则其有权但无义务与出售股东一起以同等条件按其各自股份比例出售其持有的股份。
知情权,集团公司应向A轮优先股持有人提供：(1)每一财务年度结束后90日内，经审计的年度合并财务报表，审计人应为令A轮优先股持有人满意的合格会计师事务所；(2)  每一财务季度结束后45日内，未经审计的季度合并财务报表；(3)每月结束后30日内，未经审计的月度合并财务报表；(4)每一财务年度结束前30日内，一份年度预算；和(5)  提交给该公司股东的所有文件或其他信息的复印件。所有该等财务报表均应按A轮优先股持有人同意的区域的公认会计准则准备。另外，A轮优先股持有人代表有权对公司的财务账簿和其它经营记录进行查看核对，并在合理必要时，就公司经营访问其顾问、雇员、独立会计师及律师。
转股限制与分期得权,各创始人在公司持有的普通股受限于五年的得权限制，自A轮融资交割后每满一年，创始人持有的公司总股份的1/5得权。在上述的五年之内，如创始人与集团公司的劳动合同因创始人主动离职或因创始人的过错而终止或解除，公司有权以成本价回购创始人未得权的普通股。自A轮融资交割起的五年内，在未取得A轮优先股持有人事先书面同意的情况下，创始人不得出售或转让或以任何其他方式处置其在公司享有的任何股份。
自动兑换,A轮优先股持有人有权自行决定在其认购A轮优先股的交易完成日后的任何时间将其A轮优先股兑换为公司普通股，最初的兑换比例为1:1。
自动兑换,所有A轮优先股将在以下情况下自动转换为普通股：(i)在扣除承销折扣和登记费用后，公司估值不低于5亿美元，融资金额不低于5,000万美元的首次公开发行（“合格IPO”）完成，或(ii)持有50%以上A轮优先股持有人批准。
反稀释条款,A轮优先股在发生公司股份拆股、股票分红、股本重组或其他类似情况时有权按相应的比例进行数量上的调整，以防止被稀释。·       如果公司以低于当时的A轮优先股兑换价格的价格发行任何公司证券，则A轮优先股的兑换价格应按广义加权平均（on a weighted average basis）的计算方式进行调整，以防止其被稀释。
投票表决权,每一股A轮优先股所具有的表决权与其可兑换的相应数量的普通股具有相同表决权。A轮优先股原则上与普通股共同进行投票表决，而非作为单独类别分开投票表决，但涉及“保护性条款”的事项或法律另行规定除外。
登记权,三次要求登记权，无限制次数的共同登记权和S-3或F-3表格登记权，所有费用由公司承担。要求登记权在合格IPO之后或A轮优先股发行后5年起生效。
级别,除非获得持有2/3以上A轮优先股持有人的同意，A轮优先股的权利不得为次级的，且应在所有时间至少等同于赋予所有其他现有股东的权利。
股份类别,A轮优先股，A轮优先股的权利见附件一。
投资金额,投资人：投资【800】万美元，认购公司（定义见下文，下同）发行的【】股A轮优先股，投资后持有占公司总股本【20】%的A轮优先股（按完全摊薄基础计算）；
期权,公司将在本轮投资交割时预留占交割后公司总股本的【8】%（按完全摊薄基础计算）用于员工期权的实施。员工期权自授予日起分四年得权，每满一年得权四分之一。
估值条款,本轮投资公司的投资后估值为【4000】万美元。
交割条款,(1)创始人在杭州新设一家内资企业（简称“杭州公司”）；(2)创始人在开曼群岛设立一家公司（简称“公司”）；(3)公司在香港设立一家全资子公司（简称“香港公司”）；(4)       创始人向杭州公司所在地的外管局申报37号文初始登记；(5)香港公司在境内设立一家外商独资企业（简称“WFOE”）。以上公司、香港公司、WFOE、内资公司、杭州公司合称“集团公司”。
交割条款,投资人对公司的投资系以满足下列条件为前提：(1)       投资人完成法律、财务、商业等方面的尽职调查，且令投资人满意；(2)       创始人已向投资人提供一份交割后【18】个月的公司预算；(3)       已完成交割前重组；(4)       投资人和公司签订了正式的投资协议，且在投资协议签订后至投资款支付期间无任何重大不利变更；(5)       创始人和其他主要管理和技术人员已与集团公司签订了相关的雇佣协议，非竞争、保密协议和职务发明转让协议，前述人员在离职或转让公司股权后两年内不能从事任何与集团公司竞争的业务或者唆使集团公司员工离职；(6)       集团公司已完成红筹架构的搭建(包括但不限于签署一系列VIE协议)，内资公司按照投资人的要求进行了股权重组或者签署了VIE协议并在相关工商部门递交了股权质押登记(7)       其他投资人惯常要求的其他交割先决条件。
投资款用途,除取得投资人书面同意之外，本次投资款只能用于集团公司的主营业务发展和运营。
董事会,公司的董事会由【3】位董事组成，其中：(1)  2/3以上普通股持有人有权共同委派【2】位董事；(2)  半数以上的A轮优先股持有人有权委派【1】位董事（以下简称“A轮优先股董事”）；公司董事会下的任何委员会应包括A轮优先股董事。晨兴资本还有权委派一名不享有投票权的董事会观察员。
费用,各方同意，本轮投资项下的费用最多为【5】万美元，包括但不限于法律审慎调查、正式投资协议起草等费用，该费用按照下列原则支付：（1）   若投资人完成对公司投资的，上述费用由任一集团公司支付；（2）   若投资人由于法律、财务尽职调查过程中发现的重大问题而决定放弃对公司进行投资的，则费用由创始人或集团公司承担；（1）                 若投资人因其他非合理的理由未完成对公司投资的，上述费用由投资人自行承担。（3）   ，本条款项下的费用由投资人自行承担；
保密条款,本条款清单所提出的条款和条件，包括本条款清单的存在，均构成保密信息，除非应适用的法律要求或经投资人事先书面同意，不得向任何第三人透露。
排他期,本条款清单签订后的【30】天内，除非事先已得到投资人不再进行本轮投资的书面通知，否则创始人及/或集团公司将不得再与其他投资人就本条款清单相关的主题进行任何投资谈判。如果投资人及其关联方与创始人之间签署了过桥贷款协议，排他期应当顺延至过桥贷款协议的有效期。
交割条款,本次交易应在所有交割先决条件满足后的10日内完成（“交割”）。
适用法律,本条款清单应由香港法律管辖并根据其解释。任何本条款清单项下的争端应提交香港国际仲裁中心解决。
有约束力条款,除了费用支付、保密条款、排他期、适用法律和仲裁条款外，本条款清单的其余条款在正式投资法律文件签署之前不具有法律约束力。违反有约束力条款的一方应赔偿其他当事方因其违约所受到的损失。
排他性,,如果公司现有股东和内资公司未签署本条款清单并交付给投资人，其将于_____年____月____日17:30分失效。
协议文本,本条款清单一式【】份，各签署方各执一份。
优先分红权,A轮优先股持有人有权，在董事会宣布时，优先于公司其他股东取得年息【8%】的单利不累计优先分红。A轮优先股持有人取得全部优先分红后，还有权与其他普通股股东按各自持股比例参与分红（在完全转换的基础上）。
清算优先权,公司清算时，A轮优先股持有人有权优先获得其A轮总投资额的【110%】的优先清算额，以及所有已宣布但未支付的股利。公司剩余资产将在各股东间按各自持股比例分配（在完全转换的基础上）。公司发生兼并、出售或合并且导致其股东不再持有存续公司的多数表决权，或该公司所有或关键性资产的出售，均被视为公司发生清算，适用以上条款。
回购权,在以下任一时点之后，A轮优先股持有人可随时要求公司赎回其所持的全部或部分A轮优先股:(1)A轮交割后满【5】年后；或(2)公司及/或创始人对交易文件构成重大违约。赎回价格以以下较高者为准：(1)A轮优先股的初始购买价的【150%】，加上全部已宣布但未支付的股利，或(2)A轮优先股的市场公允价格。
领售权,如果在合格IPO之前，【2/3】以上A轮优先股持有人及【1/2】以上普通股持有人赞成出售公司的全部或主要资产、股份，那么公司所有其他股东应同意、并促使其他股东同意按相同条件参与该出售。
保护性条款,下列事项需经【2/3】以上A轮优先股持有人同意，为本条款的目的，“公司”包括各集团公司：(1)对A轮优先股持有人的任何权利、优先权、特权或权力或为其利益所设的限制的任何改变；(2)发行优先性优于或等于A轮优先股的任何证券，发行公司的任何债券或股权性证券(但基于经事先批准的员工期权计划发行的除外)；(3)公司股份的回购或赎回（根据公司章程中回购或赎回条款所做的回购或赎回除外）以及发行具有该等回购权或赎回权的股份；(4)任何股票拆股、并股或股利、再分类或其他形式的公司资本重组；(5)修改或废止公司章程中任何条款；(6)改变公司经营性质或范围；(7)与公司有关的任何购并、兼并、出售、合并、合资、成立任何子公司或分公司等；(8)公司任何债券或股权性证券的公开发行；(9)公司的清算或解散；(10)出售公司所有或基本所有资产、知识产权或商誉，或购买另一家实体的所有或基本所有资产或购并任何实体；(11)    变更董事会人数；(12)    转让公司任何股份。下列事项需经公司董事会同意通过（且A轮优先股董事投赞成票）才能生效：(1)通过或修改员工期权计划（包括对其任何条款和条件的修改）；(2)任何关联交易，但公平交易且事先书面向股东完全披露的除外；(3)金额超过10人民币50万美元的元公司资产抵押或提供担保；(4)宣布或支付股份分红；(5)任命公司高级管理人员，包括但不限于首席执行官、首席运营官、首席技术官和首席财务官等；(6)任免公司审计师，决定审计费或其他与审计有关的费用；(7)上调公司收入最高的五（5）名员工中的任何一人的薪酬超过【30】%；(8)修改公司的会计政策或改变公司的会计年度；(9)正常经营之外，公司发生任何超过融资金额【1%】的债务或支出（无论是单笔或通过一系列相关的交易）；(10)通过公司年度预算及工作指标。
优先受让权,A轮优先股持有人有权根据其持股比例优先认购/购买公司新发行的股份以及公司其他股东转让的股份。
共同出售权,在其他股东出售或转让公司股份时，如A轮优先股持有人不行使优先购买权，则其有权但无义务与出售股东一起以同等条件按其各自股份比例出售其持有的股份。
知情权,集团公司应向A轮优先股持有人提供：(1)每一财务年度结束后90日内，经审计的年度合并财务报表，审计人应为令A轮优先股持有人满意的合格会计师事务所；(2)每一财务季度结束后45日内，未经审计的季度合并财务报表；(3)每月结束后30日内，未经审计的月度合并财务报表；(4)每一财务年度结束前30日内，一份年度预算；和(5)提交给该公司股东的所有文件或其他信息的复印件。所有该等财务报表均应按A轮优先股持有人同意的区域的公认会计准则准备。另外，A轮优先股持有人代表有权对公司的财务账簿和其它经营记录进行查看核对，并在合理必要时，就公司经营访问其顾问、雇员、独立会计师及律师。
转股限制与分期得权,各创始人在公司持有的普通股（何宗素自行拥有的股份的6%除外）受限于五年的得权限制，自A轮融资交割后每满一年，创始人持有的公司总股份的1/5得权。在上述的五年之内，如创始人与集团公司的劳动合同因创始人主动离职或因创始人的过错而终止或解除，公司有权以成本价回购创始人未得权的普通股；创始人与公司员工发生恋爱关系（已有的夫妻关系除外），公司有权以成本价回购创始人全部普通股(无论是否得权)。自A轮融资交割起的五年内，在未取得A轮优先股持有人事先书面同意的情况下，创始人不得出售或转让或以任何其他方式处置其在公司享有的任何股份（何宗素自行拥有的6%除外，即其可自由转让上述股份而无需获得A轮优先股持有人的同意）。
自动兑换,A轮优先股持有人有权自行决定在其认购A轮优先股的交易完成日后的任何时间将其A轮优先股兑换为公司普通股，最初的兑换比例为1:1。
自动兑换,所有A轮优先股将在以下情况下自动转换为普通股：(i)在扣除承销折扣和登记费用后，公司估值不低于5亿美元，融资金额不低于5,000万美元的首次公开发行（“合格IPO”）完成，或(ii)持有50%以上A轮优先股持有人批准。
反稀释条款,A轮优先股在发生公司股份拆股、股票分红、股本重组或其他类似情况时有权按相应的比例进行数量上的调整，以防止被稀释。·                        如果公司以低于当时的A轮优先股兑换价格的价格发行任何公司证券，则A轮优先股的兑换价格应按广义加权平均（on a weighted average basis）的计算方式进行调整，以防止其被稀释。
投票表决权,每一股A轮优先股所具有的表决权与其可兑换的相应数量的普通股具有相同表决权。A轮优先股原则上与普通股共同进行投票表决，而非作为单独类别分开投票表决，但涉及“保护性条款”的事项或法律另行规定除外。
登记权,三次要求登记权，无限制次数的共同登记权和S-3或F-3表格登记权，所有费用由公司承担。要求登记权在合格IPO之后或A轮优先股发行后5年起生效。
级别,除非获得持有2/3以上A轮优先股持有人的同意，A轮优先股的权利不得为次级的，且应在所有时间至少等同于赋予所有其他现有股东的权利。
交割条款,1.公司及原股东提供了甲方要求的全部材料和说明。2.甲方关于业务、市场、营销和内部管理等发展战略和公司及原股东达成基本共识。3.甲方完成业务、法律、财务尽职调查，并认为上述调查的结果为甲方所满意。4.本次投资获得公司各种必要的批准（股东会、董事会、政府有关审批部门等）。5.公司申请变更《公司章程》和注册资本的法律文件，已符合有关工商管理部门的要求。6.投资人取得内部批准。7.投资人同意公司 业务计划和预算。8.公司应当已经与关键员工（包括创始人）签署令投资人满意的劳动合同和/或保密协议、知识产权转让协议和不竞争协议。9.其他惯常交割条件。
估值条款,公司投资前估值为【6300】万人民币，投资后估值为【7500】万人民币。甲方本次的投资金额为【1200】万元人民币（以下简称“投资款”），占投资后公司【16】％的股权比例。
优先分红权,未经投资人书面认可，公司不得进行任何利润分配。董事会制定的利润分配方案，并经股东会审议同意（包括投资人）派发股息、红利时，投资人有权优先获得非累计投资额的【8】%/年的股息，剩余部分投资人与其他股东按照持股比例分配股息。
竞业禁止,在创始人/关键员工任职于公司及直接或者间接持有公司股权期间（以较晚者为准）以及该等期间结束后的24个月，创始人/关键员工不得直接或间接从事与公司主营业务相竞争的业务，不得在与公司有竞争关系的公司或者实体任职，或者劝诱公司的董事、高级管理人员、员工、客户或者合作伙伴离职，并且同意其在公司工作期间及之后的一年内所得的知识产权均归公司所有。同时，创始人承诺将全部精力、工作时间投入公司的经营和管理，公司的主要管理人员及核心技术人员承诺致力于公司的发展，在5年内不主动离开公司。
股权兑现,1.创始人同意，其所持有的全部公司股权的75%于投资人向公司汇款之日（简称“交割日”）起，且连续在公司工作满1周年时兑现25%，其余50%部分在此后创始人连续在公司工作的32年内等额兑现，每满1周年兑现25％。2.在创始人的股权全部兑现前，如发生以下三种情况之一的，创始人将以1元人民币的价格或届时法律允许的最低价格，将其未兑现的股权按照届时股东间的相对持股比例转让给公司的其他股东：（1）创始人主动从公司离职的；（2）创始人因自身原因不能履行职务的；或（3）创始人过错被解职。3．创始人未兑现的股权，在因前款所述情况而转让前，仍享有股东的分红权、表决权及其他相关股东权利。4.如自交割之日起43年内，公司发生以下情况：（1）创始人无过错被解职的；或（2）出售、转让全部或核心资产、业务或对其进行任何其他处置，且投资人实现了至少4倍的投资回报的情况下，创始人尚未兑现的股权将会加速兑现。5.在公司首次公开发行前，创始人以转让、赠与或设定第三方权利等方式处置所持有的公司股权应得到甲方的事先书面同意。
知情权,甲方投资后，乙方有义务，在每月10日前向甲方提交上个月的财务报表、研发、业务情况；每年1月、4月、7月、10月的30日之内提供上个季度财务报表、研发、业务情况；每年3月1日前提供上一年度审计报告，审计报告需由甲方认可的会计师事务所审计，审计费用由公司承担。
陈述和保证,创始人及公司须在交易文件中做出至少符合通用条款和条件的陈述与保证。
优先出售权,在本轮投资后，如果有第三方购买公司股权，甲方有优先于原股东出售的权利。
转股限制与分期得权,在公司实现境内外合格资本市场上市之前，未经投资人书面同意，创始人不得直接或间接对其持有的股权做任何处置（包括直接或间接向创始人的关联方或其亲属转让、出售、让与、设定权利负担或以其他方式处分其所实益拥有的任何公司股份）；但如同时满足以下全部条件，创始人可以转让其在公司中持有的股权：1）就该转让已取得投资人的事先书面同意；2）受让方已书面同意受正式签署的增资协议、股东协议和公司章程的条款和条件约束；且3）转让行为符合相关上述法律文件的约定或规定。
投资人股权出售,投资人有权自行决定转让其所持有的公司股权。
优先认购权,公司增加注册资本时，甲方在同等条件下享有优先认购全部新增注册资本的权利。
优先受让权,公司的任何其他股东拟转让其所持有的全部或部分公司股权时（因员工股权激励计划而转让股权除外），投资人享有优先受让全部拟转让股权的权利。
共同出售权,如果投资人之外的公司的其他股东决定出售其持有的公司股权，投资人应享有按比例按照相同的条款和条件共同向受让方转让部分或者全部股权的权利，但因员工股权激励计划而转让股权除外。
优先清算权,在公司解散、清算或整体出售时，甲方比原股东拥有优先的清偿权利。清算后公司的剩余财产优先支付甲方初始投资款，然后再向甲方支付等值于投资款1.5倍1倍的优先清算金额及应付和未付股息。当甲方取得清算优先的款额后，公司其余的财产将按比例分配给所有股东。
回购权,如有以下任一情形，投资人在不违反中国法律法规的前提下，有权要求公司或创始人回购投资人所持有的全部或部分股权：（1）公司和／或创始人严重违反投资协议；（2）交割日后的第60个月满时公司仍未完成首次公开发行股票；（3）上市前公司实际控制人发生变更；（4）未经投资人书面同意，公司核心业务发生重大变化；（5）公司与其关联公司进行对投资人产生重大不利影响的交易或担保行为；（6）公司、创始人或管理层出现重大个人诚信问题，包括但不限于：公司出现投资人不知情的帐外现金销售收入、出于股东或管理层故意造成的重大内部控制漏洞等；（7）公司和／或创始人在交易文件项下做出的陈述被证明是不真实、不准确、不完整或具误导性的；（8）公司其他投资人行使赎回权。赎回价格为以下价格中较高者：（1）投资金额加上8%年利息和之前已宣布但未付的股息；或（2）或者投资人认可的独立第三方评估机构评估的投资人股权的公允市场价格。如果公司因为法律法规的规定不能按照上述要求完成赎回义务，创始人承担连带义务。赎回价格和数量将根据拆股、股息派发、资本重组和其他类似情况进行相应调整。或投资人有权要求公司对公司之前历年未分配的利润立即进行分配，并且之后每年公司都应将当年可分配利润全额分配，并将创始人应分得的利润直接分配给投资人，或将创始人对利润分配的收益权无偿转让给投资人，或将创始人对利润分配的收益权无偿转让给投资人，直至投资人取得全部的赎回款项。
领售权,所有现有股东应被要求与投资人签署一份协议，该等协议应规定如果投资方及创始人批准任何涉及出售公司全部或实质上全部股权或资产或业务的交易，该等股东应对该交易投赞成票。
优惠条款,本轮投资后，公司的任何增资扩股或原股东转让股权事项，均需征得甲方书面同意。原股东同意，如果公司给予其他股东（包括任何新股东）的任何权利优于甲方享有的权利，则甲方有权自动享有该等权利。
反稀释条款,如果届时甲方同意乙方以低于本投资意向书第四条所诉本轮融资后公司估值（下称“更低估值”）募集新出资，则公司及创始人需要按照更低估值向甲方进行股权比例调整。调整方式为：由创始人无偿向投资人转让应调整的股权，使甲方在公司的出资或持股比例达到按照下列公式计算得出的比例，或者以甲方认可的其他方式进行补偿：甲方应占出资或持股比例=甲方出资额/更低估值。
投资款用途,投资款及其收益应仅被用于公司主营业务的运营和开发，不得用于偿还或解决公司对其股东、董事、雇员或与上述各方有任何关联的其他公司或人员的债务。对超出上述范围的使用，均需要经公司董事会的事先书面批准（包括投资人委派的董事）。公司需制定较为详细的财务预算，预算内的支出按公司规定程序审批，预算外的经营性支出大于20万元、资本性处置大于20万元时，需获得甲方的同意。
董事会,乙方设立董事会，董事会成员共计五人，其中一名董事由甲方委派。董事会至少每三个月召开一次会议。以下主要事项应由三分之二以上董事同意方可做出决议，且该三分之二以上的董事应包含甲方委派的一名董事：1．公司的业务范围、业务性质和/或业务活动的重大改变；2．并购或处置（包括购买及处置）超过20万元的主要资产；3．任何关于商标及知识产权的购买、出售、租赁、及其他处置事宜；4．批准年度业务计划或就已批准年度业务计划做重大修改；5．公司向银行贷款的单笔金额超过50万元或年累计金额超过50万元的新增债务；6．公司对外提供担保；7．公司对外提供贷款金额超过20万元；8．对子公司（若有）的股东协议、备忘录、章程和公司章程中条款的修改，但是就公司章程的修改应该按《公司法》的有关规定执行；9．订立任何投机性的互换、期货或期权交易；10．提起或涉及和解金额超过50万元的任何重大法律诉讼；11．聘请或更换公司审计师；12．聘请或更换公司律师；13．设立超过20万元的子公司、合资企业、合伙企业或对外投资；14．公司的上市计划，包括中介机构的聘用、上市时间、地点等；15．提请公司股东会审议公司新的融资计划；16．聘任或解聘公司总经理、副总经理或财务负责人。
费用,公司在交割时，应当支付因本轮融资产生的所有法律和行政花费，包括合理专业服务费用（投资人律师费由公司承担部分不得超过208万元）和其他费用。所有登记费用（包括股份转让税,承销折扣和代理费用）由公司承担。由于如下原因导致本交易未能交割的情况下，公司应承担投资方所发生的与本交易有关的全部法律、财务费用和其他实际开支和费用：1）投资方尽职调查的结果与公司和创始人向投资方提交的信息之间存在重大不利差异，或2）公司或者创始人的主观随意性或过错。但上述费用不应超过208万元人民币。
排他性条款,在以下较早日期：（1）本投资意向书签署后60后30天内；和（2）交割完成日之前，公司及现有股东不得向投资人以外的任何第三方寻求洽谈，或接受任何对公司或创始人成立的其他实体进行股权、债权或者其他任何形式投资的要约，不参与任何有关上述投资的谈判，或就上述投资签署任何协议或做出任何承诺。
