投资金额及投资人,投资金额：1200万美元投资人：__及其关联基金
创始股东股份限制,未经投资人书面同意，创始股东与关键员工直接或间接持有的公司股权（份）不得转让、赠予、质押、授予期权或做任何其他处分给任何第三方创始股东直接或间接持有的公司股权（份）为受限股份，分期兑现。只要创始股东受雇于公司的持续状态没有终止，创始股东的全部股份将自2017年1月1日起分4年匀速兑现，每年兑现25%。如果创始股东主动终止其与公司的雇佣关系或者服务关系，或者公司出于正当理由终止该等关系，公司或其他创始股东有权以票面价格回购其未兑现的股份
全职工作与竞业禁止,创始股东及关键员工应与公司签订劳动合同，保密、不竞争及知识产权协议，承诺：在公司合格上市满一年或被整体并购之前，全部个人工作时间和精力应服务于公司，不从事其他兼职（无论是否领薪）或经营其他实体（无论是否与公司存在竞争）；在其受雇于公司或持有公司股份期间以及其后2年内，不参与经营任何与公司有竞争的业务
合格上市,指公司股票在中国上海证券交易所、深圳证券交易所或者投资人认可的境外交易所实现首次公开发行，且：公司首次公开发行时市值不低于12亿元人民币；融资额不低于3亿元人民币
董事会组成,公司设立董事会，1名由投资人委派，投资人委派的董事未经投资人书面同意不得被免职或更换
陈述和保证,公司和现有股东应在最终投资文件中向投资人做出标准的陈述和保证
交割条件,本轮投资的交割条件包括但不限于：公司和其各下属机构方面已从现有股东和相关各方处取得的所有批准和同意；投资人完成在法律、财务、业务等方面的尽职调查且结果满意；公司业务、团队等没有发生重大不利变化；投资人完成内部的投资决策流程；最终法律文件已签署并交付；创始股东及关键员工已与公司签订劳动合同、保密、不竞争及知识产权协议；其他合理的惯常的交割条件，包括中国律师出具的法律意见书；投资人根据尽职调查情况增加的其他交割条件
保密,本次投资的条款和条件（包括本意向书中已经存在的条款）应被视为保密信息，在未取得投资人同意的情况下不得向任何第三方披露 
费用,在本次融资完成或者公司单方面终止本意向书的情况下，公司应承担投资人所实际发生的法律、财务费用和其他开支（“融资开支”），但合计不超过50万元人民币除上述情况外，各方应各自承担与本意向书项下事宜有关的成本和费用
排他期,非经投资人书面同意，公司及其现有股东、董事、高管、关联企业在本意向书签署后30日内(“排他期”)，不得通过直接或间接方式为公司及其关联企业寻求股权/债务融资（正常银行商业贷款除外），或提供与融资有关信息，或参与相关的谈判和讨论以及签署相关的协议
过渡期交易,本意向书签署后直至本轮投资交割日止，公司应及时书面告知投资人其现有股权结构的变更、非正常业务过程中的交易（包括任何融资安排）以及现金分红等对公司产生重大影响的事项，并与投资人讨论前述事项对公司的影响，以确保公司持续稳定运营
管辖法律适用和争议解决,本意向书受中国法律管辖。因本意向书中具有约束性的规定所产生的或与之相关的任何争议，应提交中国国际经济贸易仲裁委员会在北京通过仲裁解决
约束力,除“投资范围”、“保密”、“费用”、“排他期”、“过渡期交易”、“管辖法律适用和争议解决”之外，本意向书对各方无法律约束力，但应构成对未来各方签署正式投资协议的指引
分红权,未经董事会一致同意不分红。若公司宣布分红，投资人有权与其他股东按照各自持股比例共同获得可分配红利股息的分配
反摊薄保护权,当公司在合格上市前发行股票或股权类及/或可转换证券的每股价格低于本轮融资的每股价格时（经公司董事会批准（包括投资人委派董事同意）的期权计划除外），投资人将享受反摊薄条款的保护，反摊薄条款的调整方式按照广义加权平均方式进行。 
优先认购权,投资人在合格上市前有权按持股比例及以同等条件认购公司新发行的证券以保持其全面摊薄前的持股比例。
优先购买权和共售权,受限于创始股东的转股限制性规定，如果创始股东经投资人同意被允许出售其部分或全部股份（“该出售股份”）给第三方，投资人有权自行选择：(i)以和拟受让方同等的条件购买全部或部分该出售股份，或(ii)以和拟受让方为购买股权而提出的同等条件、与拟转让方按比例地出售投资人持有的股权。
清算优先权,若公司发生清算、解散或其他视为清算事件（包括50%以上的已发行股份和/或实质上全部资产出售，对外授权公司全部或实质上全部的知识产权，与其他实体合并，终止经营），投资人有权优先于公司其他现有股东获得一笔相当于原投资额的[120]%加上所有已宣布但未支付的分红及其利息（如有）的金额（“优先金额”）。如在此之前公司已经发生拆股，股息分派，股本架构重组等情况，则投资人的投资总额及股价应事先作相应比例调整。如果投资人在获得优先金额之后，公司仍有剩余财产，则剩余财产在公司所有股东之间按照各自持股比例进行分配。如果届时投资人直接从公司获得优先剩余财产金额存在法律障碍的，则各方应尽最大努力，通过其他合法、合规方式实现投资人的清算优先权
拖售权,如果投资人和董事会批准出售全部或部分股份给第三方，并且该等出售中的公司估值不低于本轮投资后估值的4倍，则投资人有权要求其他股东、其他股东也有义务按照相同的条款和条件出售他们的股份（全部或按相同比例）。如果有股东不同意出售，则其应以不低于第三方的价格和条款购买其他股东的全部股份
赎回权,如果(i)公司未在本轮投资交割日起60个月内完成合格上市且公司有资金可用于赎回，或者(ii)公司或创始股东严重违反交易文件（包括但不限于违反全职服务及不竞争义务、擅自转让公司股份、陈述与保证在重大方面失实、重大承诺事项未能完成），或者(iii)公司或创始股东赎回其他股东持有的公司股份，则投资人有权要求公司以现金方式以合法途径回购投资人所持的部分或全部股份。回购价格的计算公式为： P＝M×（1＋R）^T其中：P为投资人本轮投资获得之全部股权对应的回购价格M为投资人本轮的实际投资额R在上述第(i)种情况下为8%，在上述第(ii)种情况下为15%，在上述第(iii)种情况下与其他获赎回股东的实际赎回利率相同（多个股东要求赎回的，为最高者）T为自本轮投资完成日至投资人执行回购权之日的自然天数除以365
保护性条款,在公司合格上市之前，以下重大事项的履行须经投资人或投资人委派的董事同意。“重大事项”包括但不限于以下事项：（本款所称“公司”包括公司本身及其所有附属子公司）公司的合并、清算、解散或其他视为清算事件（包括50%以上的已发行股份和/或实质上全部资产出售，对外授权公司全部或实质上全部的知识产权，与其他实体合并，终止经营）；终止或改变公司的主要业务；增加、减少公司注册资本或股份，授予或发行任何可转换证券、期权（包括员工期权）或认股权等任何可能导致将来发行新股或造成投资方在公司的有效股权被稀释的行为；赎回公司注册资本或已发行股份；进行利润分配；设定或修改员工期权计划的条款；修改交易文件（包括公司章程）中的投资人权利条款；任免创始股东以外的人士担任董事长、首席执行官；任何关联交易，包括但不限于直接或间接为公司的任何董事或股东提供贷款或预借款，或为其债务提供任何担保、补偿或保证；除在正常业务中从银行或其他金融机构取得贸易贷款外，进行任何借贷或取得任何金融贷款工具；进行任何超过人民币200万元的预算外对外股权投资。如果上述事项中涉及依法需由股东（大）会决策的，则股东（大）会对该等事项的决策需经投资人同意。未经投资人认可，股东（大）会不得通过修改公司章程等形式将议决上述事项的职能从董事会职权中抽离或加以改变。
获得信息权,公司需要向投资人交付：在每一财务年度结束后的90天内提供审计后的年度合并财务报表在每个月结束后的30天内提供未经审计的月度合并财务报表在每个季度结束后的30天内提供未经审计的季度合并财务报表在每个财务年度结束前的45天内提供年度合并预算所有的审计都要根据中国会计准则并由双方认可的会计师事务所执行。投资人应享有标准的检查权（包括但不限于查看公司和其下属机构的全部财务账簿和记录的权利）。
最优惠条款,各方理解，本意向书签署时公司的前轮投资协议尚未向投资人完整披露，如果前轮投资协议中的相关权利优于本意向书所载的相关权利，则投资人有权要求适用该等更优惠的权利条款。
公司,__（以下简称“公司”）
投资方,__或其指定关联方（以下或简称“投资方”）
主要股东,
创始股东,
公司估值,公司在本轮投资后的估值不高于人民币2亿元（以下简称“投资后估值”），包括公司的所有资产、商誉和未分配利润等。估值以最终投资协议为准。
投资金额,投资方拟向公司增资以认购公司新增发的股权（以下简称“本轮投资”）。投资金额不超过人民币2,000万元。
交割先决条件,投资对价将在满足下列条件后支付给公司：投资方对业务、财务和法律方面尽职调查结果合理满意；各方已经签署正式的交易文件；实施本轮投资所需的重要第三方同意和公司内部授权已经取得（为免疑义，不包括工商变更登记或备案）；各方另行约定的其他合理交割条件。
陈述与保证,公司和创始股东应在投资的最终正式法律文件中做出令投资方合理满意的，符合一般市场惯例的陈述和保证。
目标交易文件签署日,公司和投资方都应尽力在本投资意向书签署后30日内签署本轮投资的交易文件。
保密,本意向书内的所有条款以及条件，包括此投资意向书的存在本身，以及公司或创始股东向投资方提供的任何公司资料、公司信息（无论该等资料的提供是否先于本意向书的签署）均为保密信息，未经其他方同意，任何一方不得向任何其他方披露，法律另有规定或者各方向对其负有同等保密义务的专业顾问或股东披露除外。如果任何一方在法律的要求下需要披露本轮投资意向书，该方应在披露之前与本轮投资意向书项下其他各方就披露进行商讨。
争议解决,因本投资意向书产生或与本意向书有关的任何争议，各方应首先尽力友好协商解决。如无法通过友好协商解决，任何一方均有权将争议提交至中国广州仲裁委员会按届时该委员会实行的仲裁规则进行仲裁。
共同出售权,创始股东转让股权（该等股权转让不会导致创始股东丧失对公司的控制权）时，投资方有权按其与创始股东及其他行使共同出售权人的相对持股比例共同出售股权。
反稀释,如果公司以低于本轮购买价格的价格新增公司注册资本，则本轮投资的价格应按照加权平均方式予以调整。
信息权,投资方有权获得公司的日常信息并有权查阅投资交易的有关信息。包括年度财务报告、季度财务报告、财务报表、财务预算等。
赎回权,如发生股东回购事件（股东回购的具体适用情形，由各方另行签署的正式协议予以约定）时，投资方有权要求公司和/或创始股东按以下较高的金额购买其持有的全部或部分公司股权：(i)相当于投资方单位购买价格100%加上按年化8%的内部收益率计算的收益；(ii)该等公司股权届时的公允市场价格。创始股东所承担之赎回义务应以其届时持有的公司股权为限。
优先清算权,如果出现任何清算（包括公司的清算、破产及解散等），投资方应有权优先获得等同于投资额100%加上按年化8%的内部收益率计算的收益的金额。
排他条款,在本清单签署后30个自然日内，公司在与投资方的合作过程中不得单方面与其它投资机构另行谈判或订立本清单下所述的本次投资相关的投资协议或类似协议（公司在签署本投资意向书之前已有过接洽的投资机构以及投资方认可的跟投/领投机构除外）。如双方以书面形式终止本清单的执行，本排他性条款亦自动终止。如双方同意，本排他性条款可延期。
股票发行人,一家根据开曼群岛法律设立的公司
创始人,杨永智和余宙
投资人,__和／或其关联方 (简称“启明”)
投资金额,美金10,000,000元（简称“原购买价”）
股票形式,A轮可赎回可转换型优先股（简称“A轮优先股”） 
发行价格,原购买价是基于投资后完全稀释股本基础上的估值（简称“投资后估值”）确定的，投资后公司在完全稀释股本基础上的估值是100,000,000美元。如果启明作为本轮唯一投资人，启明将投资10,000,000美元，获得公司完全稀释股本基础上的10.00%股权。公司允许获得额外不超过5,000,000美元的其他投资，由此，公司的投资前估值应予以相应调整，而投资后估值保持100,000,000美元不变。任何情况下，启明投资的10,000,000美元应获得投资后公司完全稀释股权基础上的10.00%股权。
赎回权,在如下任意事件发生时，经持有超过2/3A轮优先股的股东的要求，公司应当赎回部分或所有的A轮优先股，回购价格为原购买价的100%加上自交割之日起A轮优先股发行在外期间每年6%的回报率以及所有已经分配但未支付的股息：投资交割的6周年日（若未发生合格上市）；或任何集团公司或者创始人在交易文件下的重大违约。
优先清算权,如果公司出现清算、解散或者终止的情况，清算后公司可分配资金和资产应当按照如下顺序分配：在向任何其它公司股份清算前，公司应当先向每股A轮优先股支付原购买价的100%加上A轮优先股已经分配但未支付的股息。在对A轮优先股持有人清偿完毕前述优先额后，公司应向其他优先股持有人按照公司现有股东协议中的清算机制支付相应清算优先额。在支付完所有清算有限额后，剩余可分配的资金和资产将按照各股东股权比例（完全稀释和完全转换的基础上）分配给各股东。
反摊薄条款,在拆股、发放股息、合股、重整的情况下股权比例相应调整。如果公司以低于当时的A轮优先股转换价格的价格发行任何公司证券（员工的期权及其他惯常例外除外），为了反摊薄，A轮优先股的转换价格应当按照广义加权平均公式进行调整。具体的公式请见附件Ｂ。
董事会,交割时，公司的董事会（简称“董事会”）中应有当由5名成员构成，其中包括3名成员由创始人指派，1名成员由启明指派（简称“启明董事”），但前提是启明在公司的持股比例不低于公司全部股权的6%。 当投资人如是要求时，集团公司（除公司以外）的董事会构成应当尽可能与董事会保持一致。
创始人股份的限制,创始人持有的合计5,000,000普通股股份受限于应受制于等待期。该等5,000,000股普通股股份从交割起每个月可以兑现1/48，交割后四周年时完全兑现完毕。
其它条款,其它列在附件Ｂ中的条款也应当适用。
排他期,公司承诺诚信善意地尽快推进交割。公司和创始人承诺在本主要条款签署后的45个日历日内，公司和创始人不得发起，寻求，鼓励，讨论，协商或者接受任何除来自投资人的与公司发行股份，或者兼并，出售，授权或者其它出售公司重大股权或者资产相关的要约。公司和创始人若接到任何第三方有关前述事项的问讯时，应当立即通知投资人。
保密,除了投资人可以向他的顾问、会计或其他代表披露，本主要条款约定的内容包括本主要条款的存在都是保密信息不得向第三方披露，但是该等获得信息的投资人的顾问、会计或其他代表应当也同意保密所获得的信息。
费用,除非交割因可归责于投资人的原因未能完成，公司应当补偿投资人在投资中为准备法律文件及相关专业工作而实际产生和支付的所有的法律、会计等费用和支出。尽管如此，公司应当补偿投资人的费用不应超过美金30,000元。为了避免歧义，如果投资因可归责于公司的原因（而非投资人原因）未能完成，公司应承担所有投资人因投资而产生的一切法律费用和支出；如果投资人非因合理理由终止投资的，投资人因投资而产生的一切法律费用和支出应由投资人承担。
适用法律和仲裁,本主要条款应当适用香港法。若发生任何争议，任何一方有权将相关争议递交香港国际仲裁中心进行仲裁。仲裁应在香港进行，仲裁语言为英语。仲裁裁决具有终局性且对各方有约束力。
语言,本主要条款以中文和英文书就。如主要条款的中文版本和英文版本有所出入，以英文版本为准。
过期,如果本主要条款在北京时间2017年6月20日之前未被双方签署，则本主要条款在无需任何一方进一步的通知下直接过期。
陈述与保证,公司和创始人（简称“保证人”）应在包括但不限于如下方面，连带地做出陈述和保证：公司合法成立及有效存续；股权架构；获得相关方面的批准；有效的股票发行； 拥有必需的政府批文；没有不利于公司的诉讼；拥有公司知识产权； 遵守劳动法；有权使用全部资产；税收申报和公司记录完整；财务报表准确； 无不利改变；重大合同;保证完整披露。
交割条件,交割应当于惯例性的交割条件满足后发生，包括但不限于：令投资人满意的最终协议的签署（包括：股权购买协议，股东协议，限制性股票协议，赔偿协议和其它投资所需文件）；格式和内容都令投资人满意的公司章程或其它章程性文件已经被公司批准；投资人对财务、商业和法律尽职调查结果满意；每个创始人和关键员工已经签署符合投资人合理要求的劳动合同，不竞争和协议、保密协议和知识产权转让协议；公司的良好存续证明；公司获得进行投资的授权；每个集团公司已经获得所有必要的第三方包括相关政府机关的同意或者批准（如适用）；递交标准的交割证明；投资人合理和常规要求的其它常规交割条件。
登记权,A轮优先股的持有者应当享有此类交易中惯常应享有的登记权。但此类登记权的特殊条款应当至少包括下列内容：两次要求登记权，由持有至少50%以上的可登记证券（如下定义）的持有人提出；无限次的F-3或S-3表格登记权；当公司或其他出售股票的股东登记时享有无限次的附属登记权；以及削减条款应当规定：可登记证券持有者要求登记的股票中至少有25%以上的股票应当被予以登记；同时，削减时，应当先削减员工、董事等持有者的股票，再削减可登记证券持有者的股票。公司应当承担此类要求登记权、附属登记权以及F-3或S-3表格登记权的登记费用（承销商折扣或佣金除外，但应当包括与登记相关的一切其他费用）。登记权可以被转让并且将于以下时间较早发生时终止：（a）合格首次公开发行完成后五（5）年后终止；或者（b）对于任何股票，在任何期间，如果在该期间该股票依据规则144可以在任一九十天期间内出售。
可登记证券,由公司优先股可转换的普通股都被视为“可登记证券”
信息权和观察权,公司需要尽最大努力向投资人定期提供以下的文件：每一个财年结束前30天提供公司下一个财年的预算；每一财年结束后90天内未经审计的该财年的财务报表；每一季度结束后45天内提供未经审计的该季度财务报表；每个月份结束后第30天提供未经审计的该月财务报表；和其它递交给股东的文件和材料。投资人享有标准的观察权，包括但不限于：查阅公司设备，会计账簿和公司记录，以及就公司业务和运营状况与公司的董事、管理人员、财务人员及顾问进行讨论。
优先认购权,公司的优先股持有人有权在公司发行新股（员工期权的授予或其他惯常例外除外）时，按照其占公司完全稀释和完全转换的股本比例参与并购买拟新发行的股份，即可购买最高相当于其持股比例的新股。此外，如果有任何优先股股东没有购买其应当可以购买的份额，其他优先股股东可以购买剩下未被购买的份额。
优先购买权和同售权,在合格上市发生前，除非经投资人书面同意，创始人不能转让、销售或交换其所持有的公司普通股（但创始人为合理财产分配目的作出的处理除外）。该等权利不应适用于合格上市，且应于发生合格上市时终止。
承诺,保证人向投资人承诺：遵守美国海外反腐败法；尽商业上合理的努力避免成为PFIC且减少成为CFC和PFIC的影响；遵守中国法律，包括但不限于，外管局相关法规；采取投资人尽职调查认为必要的其它行动。
董事会,除非多数董事另外批准，董事会应当每一季度召开一次会议。经投资人的要求，公司应当购买一定数额的令董事会满意（包括启明董事赞成）的董事高管保险。在交割时，公司应当与启明董事签订形式符合双方约定的赔偿协议。
员工期权计划,除非董事会另外批准，所有员工的期权都应该遵循如下确权时间表：劳动合同签订后第一个周年日确权２0％，剩下分四年每月确权１／4。
分红权,A轮优先股，按照转换成普通股的基础享有分红权，但是在向公司普通股分配红利前，必须先将A轮优先股的分红分配完成。
投票权,除了在最终法律文件除外规定的包括但不限于指派董事和对保留事项的否决权，A轮优先股应当以已转换的基础与普通股一起投票。
可选择转换,A轮优先股的持有人有权在任何时候按照１：１比例转换成普通股。转换比例按照反摊薄机制所描述的和在股份分红，拆股，合股等其它情况下做相应调整。
合格,合格IPO指公司依据1933美国证券法在美国市场以承诺认购公开发行公司的普通股或者存托股票，或者公司可以在美国公开市场以外的其它经投资人批准的地区发行普通股或者存托股票。
反摊薄机制,当公司以低于A轮优先股当时有效转换价格发行股份时，A轮优先股的转换价格按照如下规定进行调整：广义加权平均。以下发行不触发反摊薄机制：因优先股转换而新发行股份或者给与优先股的股份分红；基于拆股、股份分红或者其它普通股的拆分；和根据由董事会批准包括启明董事同意的员工期权计划或期权协议发给员工、高管和公司董事的股份。
保护条款,保证人应当促使公司和其它集团公司，除了获得持有５0％以上A轮优先股持有人（单独投票）事先书面（电子邮件以视为书面形式）同意时，不得从事以下事项：增加，减少或者取消已授权或者已发行的公司或者集团公司的股票；发行，授权，购买，回购任何可以在未来有权利购买新股的股票；给与或者发行任何期权或者权证或者其他需要在未来发行新股票的；或者做任何其他有可能稀释或者减少投资人在公司的有效持股比例的行为；任何授权、增加或者发行任何类型的股票且其优先权优先于或者平等于A轮优先股的行为；任何修改现有股票优先权使其优先权优先于或者平等于A轮优先股的行为；任何终止或者重大改变公司或其集团公司现有业务的行为；出售或处置全部或者绝大部分公司商誉或者重要资产的行为;造成任何集团公司的合并、重组或者其它公司重组或单笔交易或者一系列交易造成任何集团公司的投票权发生５０％以上的转移的行为；出售，转让，抵押，或者放弃任何的公司及其集团公司拥有的重要商标、专利或者集团公司拥有的重要知识产权；通过任何关于批准解散公司或者其它集团公司决议，进行任何与公司和／或者集团公司相关的合并、重组或者清算，或者申请任命破产接管人、管理人、司法管理人或类似人员；通过分股息或者其它方式在股东之间进行利益的分配；批准除优先股之外公司或其它集团公司股份的转让；处置或者稀释公司在任何子公司的权益；修改优先股持有人权力、优先性、权利、特殊性或者相关限制等；修改公司或者其它集团公司的章程；修改控制协议（如必要）；和任何其它在尽职调查过程中发现的问题。保证人应当促使公司和其它集团公司，除了获得董事会事先批准且批准包括启明董事的赞成，不得从事以下事项达成或修改关于奖金发放机制或授予任何超过15万美金或等值货币的奖金（不包括预算里批准的部分）、达成或修改利润分配、员工期权方案或股权参与计划的条款或规定或授予任何人超过公司全部股份（在完全稀释基础上）1%的员工期权； 进行任何股权投资，或达成任何合资协议；承诺任何一个支出超过五十万美金或者等值货币（为公司正常经营所需的支出除外）； 除了在公司正常运营中从银行或者其他金融机构中取得交易便利的情况之外，进行任何金额超过100万美金或等值货币的借贷或者获得任何财务上的帮助；向银行或者其他金融机构贷单次超过五十万美元或同等数量的款项或者全年度总共超过一百万美元的款项，或者批准或者发行任何由公司或者其它集团公司的资产或者权益做质押或押记的债券（无论是固定或浮动押记、按揭或其他担保）;对任何和集团公司董事或股东利益有关的条款进行修改或者批准，包括但不仅限于，直接或者间接的贷款，或者为集团公司的董事或者股东提供任何担保，保证或者赔偿；在公司及其子公司或附属公司之间、或者其子公司及附属公司之间进行累计多于一百万美元的现金或者资产转让；发生任何超过五十万美元的资本支出；进行任何经营性租赁或者不动产租赁且每年租金超过五十万美元；进行任何关联交易；任命（或订立相关的任命条款）公司的总经理、总裁、董事长、CEO、COO、CFO或者其他任何年薪超过三十万美元的职员；更改之前使用的会计准则，或者更改公司的财务年度；指定或者更改公司和/或其它集团公司的审计师；和其它任何在尽职调查中发现且经双方一致认可的事项。
标的公司,__
投资方,【】和/或者其关联方
创始股东,
估值及投资金额,公司本轮融资前估值为【】亿元人民币，在此基础上投资方有意出资【】亿元人民币，认购公司【】元的新增注册资本。本轮融资后公司增加注册资本至【】元。
资金的用途,本轮融资投资款将被用于公司的主营业务发展及其他经公司董事会书面批准的用途。
共同出售权及优先购买权,当创始股东拟出售其拥有的部分或全部公司股权时（不违反股权转让限制为基本前提），投资方有权选择（1）以同等条件和价格按照各投资方所持股权比例优先购买该股权；或（2）以同等价格和条件，按照其与创始股东的相对股权比例向潜在购买者出售股权。
优先认购权,在公司上市前，如公司增加注册资本，则投资方有权按投资方在公司的持股比例以同等条件及价格优先参与该轮融资。上述例外情况是：1）为实施员工股权激励计划所做的目标公司的转股安排；2）经股东会同意，对另一主体或业务收并购中增发的股份；3）经股东会同意，利润转增注册资本、资本公积转增股本等情况下新增的注册资本；4）经股东会批准公司股改后的股份、红利或分拆等情况下进行转换而发行的股份。【注：优先认购权为公司上市前的事项】
议事规则,公司的股东会、董事会议事规则以及表决权安排将由各方在具有法律约束力的最终交易文件中另做具体约定，以不影响公司股份制改造及上市及公司正常经营为原则与前提。
最惠国待遇,若公司或创始股东给予本轮其他投资人及其他原股东的任何权利优于投资方所享有的权利，则投资方有权自动享有该等权利。
信息权及检查权,在各投资方持有公司股权期间，公司应向相关投资方提供公司及其关联方的以下文件或信息：(1)在每月15号前，提交上月合并财务报表；(2)在每个会计季度结束后的15日之内，提交未经审计的季度财务报表；(3)在每个会计年度结束后90日内，提交由投资方、现有股东和公司共同推选的会计师事务所审计的年度财务报表；(4)每个会计年度结束前45日内提交下一会计年度的财务预算及年度业务计划。此外，投资方有权检查公司和附属公司的设施、账目和记录，但以不影响公司正常运营及其保密义务为前提。
反稀释,本轮融资完成后，若公司再融资低于投资方的价格（“新价格”），投资方本次融资的价格按广义加权平均的方式调整。上述例外情况是：1）为实施员工股权激励计划所做的目标公司的转股安排；2）经股东会同意，对另一主体或业务收并购中增发的股份；3）经股东会同意，利润转增注册资本、资本公积转增股本等情况下新增的注册资本；4）经股东会批准公司股改后的股份、红利或分拆等情况下进行转换而发行的股份。
合格上市,合格的上市是指公司在知名证券交易所（包括但不限于纽约证券交易所、纳斯达克、香港交易所、上海证券交易所、深圳证券交易所）上市和挂牌交易
赎回权,如果公司未能在2021年12月31日后实现合格上市或借壳上市，则投资方有权要求公司和/或创始股东回购其届时所持有的全部或部分公司股权，且各创始股东赎回本轮投资方股权的价款总金额在任何情况下仅以该创始股东所持全部公司股权价值为上限。赎回的对价为投资方所支付的交易价款的【150%】加上累计已宣派但未分配的股息及红利。
清算优先权,若公司发生任何清算、解散或终止情形，公司清算后所得在依法支付清算费用、职工工资和劳动保险费用、缴纳所欠税费、清偿公司债务后（该等财产称“可分配财产”），本轮投资方有权优先于公司的创始股东就可分配财产按照以下金额获得优先清偿：本轮投资方支付的相当于其增资全部价款【120%】的金额加上已宣派但未分配的股息及红利，以及按持股比例于剩余财产或价款中获得的财产或价款。
售出事件中的优先分配权,如公司发生如下售出事件：1）出售、转让公司或其子公司的全部或实质上全部的资产、业务；2）将公司或其子公司全部或实质上全部的重要知识产权授予给第三方；3）公司因合并、被收购、出售控股权或其他公司控制权发生变化的事由；但不包括：与全资子公司的合并；以改变目标公司住所为唯一目的的合并；不妨碍目标公司法人实体继续存在及控制权稳定的股权融资。则本轮投资方有权优先于公司创始股东获得本轮增资全部价款【150%】的金额加上未分配的股息及红利，以及按持股比例于剩余财产或价款中获得的财产或价款。
投资方特别承诺,若因投资方原因导致公司上市过程中存在不合规的情形或对公司上市造成实质障碍的（例如，股东人数超出200人、投资主体有外资成分或其他导致公司不能申请或保有相关业务牌照或资质的原因），投资方应按公司要求更改出资形式或主体，使其满足公司上市要求；若投资方未能按照公司要求完成前述更改调整，或相应的更改调整后，投资方仍存在可能导致公司上市过程中存在不合规的情形或对公司上市造成实质障碍的因素，则投资方应自行从公司完全退出，退出方式包括但不限于创始股东或其指定的第三方有权（但无义务）以本次投资方投资价格的【80%】回购投资方持有公司的部分或全部股份，投资方还将自行承担由此产生的交易成本。上述变更后的持股主体享有本投资项下投资方享有的各项权利，且上述变更不构成对本投资项下各项约定的违反。投资方承诺采取措施配合公司的股改与上市，包括但不限于终止投资方的各项优先权利与相关安排。
费用,若本轮融资未能完成最终交割，则投资方自行承担所发生的与本轮融资有关的全部法律、财务尽调费用和其他实际开支和费用。若本轮融资投资方最终完成交割，则公司应承担投资方所发生的与本轮融资有关的全部法律、财务尽调费用和其他实际开支和费用，但以不超过人民币【50】万元为限。
保密,本轮融资的条款和条件（包括本条款清单的条件和存在）应被视为保密信息，未经其他方同意事先书面同意，任何一方不得向任何第三方披露。
适用法律和争议解决,本条款清单应受中华人民共和国法律管辖管辖。全部争议应提请中国国际经济贸易仲裁委员按照该会仲裁规则在北京进行仲裁。
投资结构,投资人以现金方式直接向公司增资扩股
公司,[]（简称为 “公司”）
原股东/创始股东,公司原有股东名单如下，其中【】为创始股东公司在投资人进行投资前将进行股权结构调整，具体方案在增资协议及股东协议签署前确定。公司应在本轮交割之前或之时预留本次交割完成后充分稀释基础上的【4】%的股权作为员工期权池。
本轮投资人,__或其指定的关联基金（简称”__”或”投资人”）
估值及投资金额,公司本轮投资前的估值为RMB￥【6,692.31】万，__投资金额为RMB￥【1,000】万，交割后在完全稀释的基础上应占公司股权总数的【13.00】%（【A】轮次优先股）。投资交易完成后，公司总估值为RMB￥【7,692.31】万。本轮融资的单位增资价格（“认购单价”）以上述估值为基础进行确认。
创始人股权限制,创始股东持有的股权将在交割之日起4年内解锁完毕，每年确权25%的股权。创始股东如果未能服务满4年而离开公司，其未解锁部分的股权将会被公司（或除该创始人外的其他股东）根据公司董事会（含投资人董事）确定的价格购买。但如因严重损害公司利益的行为而离开或参与、加入公司竞争对手，则将被无偿购买。离开的创始股东为ESOP代持的股权将转为由其他创始股东或投资人代持。在公司IPO或出售之前，创始股东和持股1%以上的员工不得以任何方式转让或处置其所持有的任何公司股权，或在其持有的公司股权上设置权利负担，除非是为了实施经董事会批准的员工股权激励计划，或该行为已经得到投资人的同意。创始人及关键员工在任职/持股期间及之后1年内承担不竞争、不拉拢义务。
利润分配,在未经投资人同意的情况下不得分配利润。
投资资金的使用,本次投资资金将按照计划用于下列投资项目：市场开拓团队建设技术研发资金投向如发生调整，应获得本轮投资完成后投资人董事的书面同意。
上市,公司承诺尽力在2022年11月30日前完成合格首次公开发行。如果在2022年11月30日前未能完成合格首次公开发行，投资人有权要求公司按照年利率【10】%的复利赎回投资人持有的全部或部分股份。公司和/或创始股东严重违反法律法规或交易文件的约定，投资人有权要求公司及创始股东按照年利率【10】%的复利赎回投资人持有的全部或部分股份。
公司董事会,投资完成后，新的公司董事会（“董事会”）将由【3】位董事组成，其中__委派【1】位，创始股东委派【2】位。
知情权,公司需向投资人及投资人之董事提供监督公司经营进程所需要的所有信息，包括但不限于：在每一财务年度结束后的90天内提供审计后的年度合并财务报表。在每个季度结束后的30天内提供未经审计的合并财务报表。在每个财务年度结束前的30天前提供下一年度合并预算。每一新财年开始前30天内提供公司新的年度收入和资本预算计划。给予投资者查阅公司财务报表、接触公司管理层的权利。所有的审计都要根据中国会计准则，由一家投资人认可的合格的会计师事务所执行。
优先购买权和共售权,如果创始股东向第三方出售其所持有的股份，则投资人有权1）以同等价格和条件优先购买全部或者部分拟转让的股权；或者2）以同等价格和条件，与创始股东按其各自在公司的持股比例，共同向拟受让人出售其相应的部分股权。
反稀释,如果公司按照低于本轮认购单价的认购价格进行增资，则投资人在公司持有的股权的整体价格将按照广义加权平均方式进行调整。
